shape_id,shape_pt_sequence,stop_id,stop_lat,stop_lon,stop_name_y,lonlat,geometry
B630156,470004,305393.0,40.687143,-73.985137,ATLANTIC AV/BOND ST,"(-73.985137, 40.687143)",POINT (-73.98513699999999 40.687143)
B630156,480002,305408.0,40.687563,-73.986727,ATLANTIC AV/HOYT ST,"(-73.986727, 40.687563)",POINT (-73.986727 40.687563)
B630156,490002,305407.0,40.688371,-73.988811,ATLANTIC AV/SMITH ST,"(-73.988811, 40.688371)",POINT (-73.988811 40.688371)
B630156,490002,307010.0,40.68878,-73.98898,SMITH ST/ATLANTIC AV,"(-73.98898, 40.68878)",POINT (-73.98898 40.68878)
B630156,490003,305395.0,40.68881500000001,-73.989478,ATLANTIC AV/SMITH ST,"(-73.989478, 40.68881500000001)",POINT (-73.98947800000001 40.68881500000001)
B630156,500005,305396.0,40.68927100000001,-73.991016,ATLANTIC AV/BOERUM PL,"(-73.991016, 40.68927100000001)",POINT (-73.991016 40.68927100000001)
B630156,510004,305112.0,40.689565,-73.992204,ATLANTIC AV/COURT ST,"(-73.992204, 40.689565)",POINT (-73.992204 40.689565)
B630156,510004,305215.0,40.689856,-73.992366,COURT ST/ATLANTIC AV,"(-73.992366, 40.689856)",POINT (-73.992366 40.689856)
B630156,510004,305397.0,40.689806,-73.992532,ATLANTIC AV/COURT ST,"(-73.992532, 40.689806)",POINT (-73.992532 40.689806)
B630156,520004,305111.0,40.690095,-73.994155,ATLANTIC AV/CLINTON ST,"(-73.994155, 40.690095)",POINT (-73.99415500000001 40.690095)
B630156,520004,305216.0,40.690391,-73.994744,ATLANTIC AV/CLINTON ST,"(-73.994744, 40.690391)",POINT (-73.994744 40.690391)
B630156,530002,305110.0,40.690701,-73.996401,ATLANTIC AV/HENRY ST,"(-73.996401, 40.690701)",POINT (-73.99640100000001 40.690701)
B630156,530002,305217.0,40.690747,-73.996107,ATLANTIC AV/HENRY ST,"(-73.996107, 40.690747)",POINT (-73.99610699999999 40.690747)
B630156,540003,305109.0,40.691047,-73.997525,ATLANTIC AV/HICKS ST,"(-73.997525, 40.691047)",POINT (-73.997525 40.691047)
B630156,540003,308647.0,40.691173,-73.997626,ATLANTIC AV/HICKS ST,"(-73.997626, 40.691173)",POINT (-73.997626 40.691173)
B630156,550007,305108.0,40.691443,-73.999437,COLUMBIA ST/ATLANTIC AV,"(-73.999437, 40.691443)",POINT (-73.999437 40.691443)
B630157,10001,307780.0,40.627897,-74.039898,SHORE RD/83 ST,"(-74.039898, 40.627897)",POINT (-74.03989799999999 40.627897)
B630157,10011,301708.0,40.623009,-74.028775,86 ST/4 AV,"(-74.028775, 40.623009)",POINT (-74.028775 40.623009)
B630157,10014,801069.0,40.622647,-74.028537,4 AV/86 ST,"(-74.028537, 40.622647)",POINT (-74.028537 40.622647)
B630157,10014,901225.0,40.622521,-74.028343,4 AV/86 ST,"(-74.028343, 40.622521)",POINT (-74.02834300000001 40.622521)
B630157,10014,901226.0,40.622658,-74.028343,4 AV/86 ST,"(-74.028343, 40.622658)",POINT (-74.02834300000001 40.622658)
